,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
0,VNET,21Vianet Group Inc,After Market Close,-0.03,,
1,ATRX,Adhera Therapeutics Inc,After Market Close,,,
2,AFOM,All for One Media Corp,Time Not Supplied,,,
3,ASND,Ascendis Pharma A/S,After Market Close,-0.01,,
4,CRMT,America's CAR-MART Inc,After Market Close,1.81,,
5,ASH,Ashland Global Holdings Inc,After Market Close,0.95,,
6,AEGG,American Energy Group Ltd,Time Not Supplied,,,
7,ASTI,Ascent Solar Technologies Inc,Before Market Open,,,
8,AZZ,AZZ Inc,Before Market Open,,,
9,ADI,Analog Devices Inc,TAS,1.22,,
10,ASFI,Asta Funding Inc,TAS,,,
11,JG,Aurora Mobile Ltd,Time Not Supplied,,,
12,ABIL,Ability Inc,Before Market Open,,,
13,BRTI,Blackridge Technology International Inc,Time Not Supplied,,,
14,BILI,Bilibili Inc,After Market Close,-0.14,,
15,TWST,Twist Bioscience Corp,TAS,-0.85,,
16,BGI,Birks Group Inc,After Market Close,,,
17,BKS,Barnes & Noble Inc,Before Market Open,,,
18,SBSAA,Spanish Broadcasting System Inc,TAS,,,
19,WSG,Wanda Sports Group Co Ltd,Before Market Open,-0.13,,
20,AWSM,Cool Holdings Inc,After Market Close,,,
21,CATO,Cato Corp,Before Market Open,,,
22,NUANV,Nuance Communications Inc,Time Not Supplied,,,
23,ROYT,Pacific Coast Oil Trust,After Market Close,0.05,,
24,LIVC,Live Current Media Inc,After Market Close,,,
25,CTK,CooTek (Cayman) Inc,TAS,-0.19,,
26,ESL,Esterline Technologies Corp,Time Not Supplied,,,
27,STCC,Sterling Consolidated Corp,Time Not Supplied,,,
28,TCFC,Community Financial Corp(Maryland),Time Not Supplied,0.72,0.66,-8.33
29,NCRE,New Century Resources Corp,Time Not Supplied,,,
30,CBAT,CBAK Energy Technology Inc,Time Not Supplied,,,
31,ZTO,ZTO Express (Cayman) Inc,After Market Close,0.22,,
32,MGTI,MGT Capital Investments Inc,Time Not Supplied,-0.01,,
33,DY,Dycom Industries Inc,Before Market Open,0.72,,
34,DRVD,Driven Deliveries Inc,Time Not Supplied,,,
35,DTGI,Digerati Technologies Inc,Before Market Open,,,
36,KRNT,Kornit Digital Ltd,After Market Close,0.18,,
37,EZPW,EZCORP Inc,Time Not Supplied,0.19,,
38,NYNY,Empire Resorts Inc,Time Not Supplied,,,
39,TOMZ,TOMI Environmental Solutions Inc,Time Not Supplied,,,
40,SFUN,Fang Holdings Ltd,TAS,,,
41,FCSC,Fibrocell Science Inc,Before Market Open,-0.29,,
42,PHIL,PHI Group Inc,Time Not Supplied,,,
43,GBCS,Global Healthcare REIT Inc,Time Not Supplied,,,
44,IGLD,Internet Gold Golden Lines Ltd,Time Not Supplied,,,
45,GAXY,Galaxy Next Generation Inc,Before Market Open,,,
46,SNWV,SANUWAVE Health Inc,After Market Close,-0.02,,
47,LX,LexinFintech Holdings Ltd,Before Market Open,0.54,,
48,MLHC,M Line Holdings Inc,Time Not Supplied,,,
49,UUU,Universal Security Instruments Inc,Time Not Supplied,,,
50,QUES,Quest Solution Inc,Time Not Supplied,,,
51,QD,Qudian Inc,Before Market Open,0.47,,
52,ISNS,Image Sensing Systems Inc,After Market Close,,,
53,NPK,National Presto Industries Inc,After Market Close,,,
54,SINT,SINTX Technologies Inc,Before Market Open,,,
55,WWD,Woodward Inc,After Market Close,1.25,,
56,MAGS,Magal Security Systems Ltd,TAS,,,
57,MAGS,Magal Security Systems Ltd,Time Not Supplied,,,
58,NEW,Puxin Ltd,Before Market Open,,,
59,MANU,Manchester United PLC,TAS,-3.42,,
